"","대여소ID","총대여건수","구분","대여소명.x","대여일자","대여건수","대여소주소","위도","경도","기준시작일자","거치대수","temp","freqByBike","freqByBike_total"
"1",101,2881,"마포구","101. (구)합정동 주민센터",201904,640,"서울특별시 마포구 동교로8길 58",37.549561,126.905754,"42253.986759259256",5,1,128,576.2
"2",101,2881,"마포구","101. (구)합정동 주민센터",201902,203,"서울특별시 마포구 동교로8길 58",37.549561,126.905754,"42253.986759259256",5,1,40.6,576.2
"3",101,2881,"마포구","101. (구)합정동 주민센터",201812,314,"서울특별시 마포구 동교로8길 58",37.549561,126.905754,"42253.986759259256",5,1,62.8,576.2
"4",101,2881,"마포구","101. (구)합정동 주민센터",201905,1068,"서울특별시 마포구 동교로8길 58",37.549561,126.905754,"42253.986759259256",5,1,213.6,576.2
"5",101,2881,"마포구","101. (구)합정동 주민센터",201901,233,"서울특별시 마포구 동교로8길 58",37.549561,126.905754,"42253.986759259256",5,1,46.6,576.2
"6",101,2881,"마포구","101. (구)합정동 주민센터",201903,423,"서울특별시 마포구 동교로8길 58",37.549561,126.905754,"42253.986759259256",5,1,84.6,576.2
"7",102,10936,"마포구","102. 망원역 1번출구 앞",201905,4151,"서울특별시 마포구 월드컵로 72",37.555649,126.910629,"42253.987569444442",20,1,207.6,546.8
"8",102,10936,"마포구","102. 망원역 1번출구 앞",201902,758,"서울특별시 마포구 월드컵로 72",37.555649,126.910629,"42253.987569444442",20,1,37.9,546.8
"9",102,10936,"마포구","102. 망원역 1번출구 앞",201904,2694,"서울특별시 마포구 월드컵로 72",37.555649,126.910629,"42253.987569444442",20,1,134.7,546.8
"10",102,10936,"마포구","102. 망원역 1번출구 앞",201901,766,"서울특별시 마포구 월드컵로 72",37.555649,126.910629,"42253.987569444442",20,1,38.3,546.8
"11",102,10936,"마포구","102. 망원역 1번출구 앞",201812,927,"서울특별시 마포구 월드컵로 72",37.555649,126.910629,"42253.987569444442",20,1,46.4,546.8
"12",102,10936,"마포구","102. 망원역 1번출구 앞",201903,1640,"서울특별시 마포구 월드컵로 72",37.555649,126.910629,"42253.987569444442",20,1,82,546.8
"13",103,7576,"마포구","103. 망원역 2번출구 앞",201905,2633,"서울특별시 마포구 월드컵로 79",37.554951,126.910835,"42253.988344907404",14,1,188.1,541.1
"14",103,7576,"마포구","103. 망원역 2번출구 앞",201904,1873,"서울특별시 마포구 월드컵로 79",37.554951,126.910835,"42253.988344907404",14,1,133.8,541.1
"15",103,7576,"마포구","103. 망원역 2번출구 앞",201901,600,"서울특별시 마포구 월드컵로 79",37.554951,126.910835,"42253.988344907404",14,1,42.9,541.1
"16",103,7576,"마포구","103. 망원역 2번출구 앞",201902,574,"서울특별시 마포구 월드컵로 79",37.554951,126.910835,"42253.988344907404",14,1,41,541.1
"17",103,7576,"마포구","103. 망원역 2번출구 앞",201812,640,"서울특별시 마포구 월드컵로 79",37.554951,126.910835,"42253.988344907404",14,1,45.7,541.1
"18",103,7576,"마포구","103. 망원역 2번출구 앞",201903,1256,"서울특별시 마포구 월드컵로 79",37.554951,126.910835,"42253.988344907404",14,1,89.7,541.1
"19",104,7237,"마포구","104. 합정역 1번출구 앞",201812,715,"서울특별시 마포구 양화로 59",37.550629,126.914986,"42253.989247685182",13,1,55,556.7
"20",104,7237,"마포구","104. 합정역 1번출구 앞",201903,1225,"서울특별시 마포구 양화로 59",37.550629,126.914986,"42253.989247685182",13,1,94.2,556.7
"21",104,7237,"마포구","104. 합정역 1번출구 앞",201902,633,"서울특별시 마포구 양화로 59",37.550629,126.914986,"42253.989247685182",13,1,48.7,556.7
"22",104,7237,"마포구","104. 합정역 1번출구 앞",201905,2456,"서울특별시 마포구 양화로 59",37.550629,126.914986,"42253.989247685182",13,1,188.9,556.7
"23",104,7237,"마포구","104. 합정역 1번출구 앞",201904,1561,"서울특별시 마포구 양화로 59",37.550629,126.914986,"42253.989247685182",13,1,120.1,556.7
"24",104,7237,"마포구","104. 합정역 1번출구 앞",201901,647,"서울특별시 마포구 양화로 59",37.550629,126.914986,"42253.989247685182",13,1,49.8,556.7
"25",105,4453,"마포구","105. 합정역 5번출구 앞",201903,757,"서울특별시 마포구 양화로 48",37.550007,126.914825,"42253.989930555559",5,1,151.4,890.6
"26",105,4453,"마포구","105. 합정역 5번출구 앞",201902,430,"서울특별시 마포구 양화로 48",37.550007,126.914825,"42253.989930555559",5,1,86,890.6
"27",105,4453,"마포구","105. 합정역 5번출구 앞",201904,1057,"서울특별시 마포구 양화로 48",37.550007,126.914825,"42253.989930555559",5,1,211.4,890.6
"28",105,4453,"마포구","105. 합정역 5번출구 앞",201812,419,"서울특별시 마포구 양화로 48",37.550007,126.914825,"42253.989930555559",5,1,83.8,890.6
"29",105,4453,"마포구","105. 합정역 5번출구 앞",201901,417,"서울특별시 마포구 양화로 48",37.550007,126.914825,"42253.989930555559",5,1,83.4,890.6
"30",105,4453,"마포구","105. 합정역 5번출구 앞",201905,1373,"서울특별시 마포구 양화로 48",37.550007,126.914825,"42253.989930555559",5,1,274.6,890.6
"31",106,13286,"마포구","106. 합정역 7번출구 앞",201902,849,"서울특별시 마포구 독막로 4",37.548645,126.912827,"42253.990636574075",10,1,84.9,1328.6
